Address,Quadrant,Profit_Factor,Average_Leverage,Total_PnL,Win_Rate,Liq_Loss_Ratio,Total_Account_Value,Avg_Duration_Min,Orders_30d,Orders_Per_Day,Duration_Ratio,Liq_Loss_Ratio_Detail,Top_Coins_Vol_Ratio,Liquidations_60d,Avg_PV
0x21ed8665dabe127dba334147de0a73c2978f6995,Q2: 爆破敢死队,0.1709,17.71,-21162.46,20.00%,1.0061,1621.84,1262.41,313,10.43,0.2884,1.0061,0.9474,61,82774.96
0xb4c4ea613bbcb6ff85862a42c082f65dc572a58b,Q2: 爆破敢死队,0.0005,14.5,-55124.49,9.52%,0.9756,856.22,23306.15,291,9.7,127.5695,0.9756,0.9016,4,22757.52
0xf8f745624f4694023b5ba1b420d6d32b34b8c4d8,Q2: 爆破敢死队,0.2047,16.14,-23282.79,25.16%,0.2961,802.69,805.61,271,9.03,1.4072,0.2961,0.8,3,24213.18
0xa33202e558c0a3b637b9f50bad621bf5097a61fa,Q2: 爆破敢死队,0.0,40.0,-81052.6,0.00%,0.0337,16141.09,36941.48,262,8.73,0.0,0.0337,0.9995,2,130428.92
0x23f63dc180250cb115882fb2041024382a62c358,Q2: 爆破敢死队,0.1667,12.09,-63358.57,26.01%,0.1875,666.58,1107.82,210,7.0,1.4063,0.1875,0.8,1,20080.81
0xab9c72de2d7af436ef78e3093191e7740ea99809,Q2: 爆破敢死队,0.0,31.9,-63244.25,0.00%,0.8746,0.28,1227.42,190,6.33,0.0,0.8746,0.9919,52,261954.23
0x2896225a02ed205501592335e9c0e0a6239cae4d,Q2: 爆破敢死队,0.1129,14.69,-191930.93,13.64%,0.6255,17174.33,698.29,177,5.9,0.2532,0.6255,0.8,15,363142.4
0x6dec3748f5d2d538836bedbb8d63191255cd37f6,Q2: 爆破敢死队,0.1814,15.52,-79222.14,25.00%,0.215,0.01,248.63,175,5.83,0.7418,0.215,1.0,5,416387.16
0x349d4dee40c79209699da6a20fc4bf68600bd8f1,Q2: 爆破敢死队,0.1769,18.28,-30402.86,17.91%,0.746,4260.11,13272.0,174,5.8,1.5269,0.746,0.9097,32,13806.05
0xa03824fc002c6d85fae24b9fe55eb72aa33e2849,Q2: 爆破敢死队,0.022,25.12,-43510.94,25.00%,0.4281,2700.07,2770.28,161,5.37,5.8349,0.4281,0.9477,6,14351.08
0x18cb0112bacb813aafaf0fa09860c2d91b8d9098,Q2: 爆破敢死队,0.1849,18.64,-27083.51,29.76%,0.3729,0.02,967.48,151,5.03,3.3382,0.3729,0.8687,4,15180.89
0x06a49f074dad3bd4a979712e5962763a26091d9b,Q2: 爆破敢死队,0.1752,18.96,-10920.8,12.24%,0.0479,10.89,303.57,146,4.87,0.4667,0.0479,0.981,6,65242.25
0x37c32a299c91511f239efeaa4224fdff3ef9bd9c,Q2: 爆破敢死队,0.2513,35.59,-14902.96,29.24%,0.9742,170.56,1722.22,127,4.23,0.7994,0.9742,0.9896,10,14460.07
0x0999a9611500b5431185e312c799c53de74dc74b,Q2: 爆破敢死队,0.0188,18.57,-103208.33,25.00%,0.2223,2260.97,19062.75,118,3.93,72.2321,0.2223,0.9996,3,198289.58
